id,nome,id_orgao,id_municipio,cnpj,cep,total_fornecedores_cadastrados,total_fornecedores_recadastrados,unidade_cadastradora,ativo
20026,SECRETARIA DE DOCUMENTACAO E INFORMACAO,2000.0,,,70000000.0,0,0,0,0
20027,SUBSECRETARIA DE ARQUIVO,2000.0,,,70000000.0,0,0,0,0
20028,SUBSECRETARIA DE BIBLIOTECA,2000.0,,,70000000.0,0,0,0,0
20029,SUBSECRETARIA DE ANALISE,2000.0,,,70000000.0,0,0,0,0
20030,SUBSECRETARIA DE EDICOES TECNICAS,2000.0,,,70000000.0,0,0,0,0
20031,SECRETARIA LEGISLATIVA,2000.0,,,70000000.0,0,0,0,0
20032,SUBSECRETARIA DE COMISSOES,2000.0,,,70000000.0,0,0,0,0
20033,SUBSECRETARIA DE TAQUIGRAFIA,2000.0,,,70000000.0,0,0,0,0
20034,SUBSECRETARIA DE ATA,2000.0,,,70000000.0,0,0,0,0
20035,SUBSECRETARIA DE ANAIS,2000.0,,,70000000.0,0,0,0,0
20036,SECRETARIA DE SERVICOS ESPECIAIS,2000.0,,,70000000.0,0,0,0,0
20037,SUBSECRETARIA DE SERVICOS GERAIS,2000.0,,,70000000.0,0,0,0,0
20038,SUBSECRETARIA TECNICA DE ELETRONICA,2000.0,,,70000000.0,0,0,0,0
20039,SUBSECRETARIA DE ASSISTENCIA MEDICA E SOCIAL,2000.0,,,70000000.0,0,0,0,0
20040,SUBSECRETARIA DE ENGENHARIA,2000.0,,,70000000.0,0,0,0,0
20041,REPRESENTACAO DO SEN.FEDERAL NO R.DE JANEIRO,2000.0,,,70000000.0,0,0,0,0
20042,CENTRO DE DESENVOLV. DE REC. HUMANOS DO S.F.,2000.0,,,70000000.0,0,0,0,0
20043,GRUPO BRASILEIRO DO PARLAM. LATINO AMERICANO,2000.0,,,70000000.0,0,0,0,0
20044,GRUPO BRASILEIRO DA ASSOC.INTERPAL.DE TURISMO,2000.0,,,70000000.0,0,0,0,0
20045,GRUPO BRASILEIRO DA UNIAO INTERPARLAMENTAR,2000.0,,,70000000.0,0,0,0,0
20046,INSTITUTO DE PREVIDENCIA DOS CONGRESSISTAS,2000.0,,,70000000.0,0,0,0,0
20047,CONS.DE ETICA E DECORO PARL.-SEC.GER.DA MESA,2000.0,,,70000000.0,0,0,0,0
20048,CONS. DE COMUNICACAO SOCIAL - SEC.GER.DA MESA,2000.0,,,70000000.0,0,0,0,0
20049,ASSESSORIA DE PLANEJ. E MODER.ADMINISTRATIVA,2000.0,,,71000000.0,0,0,0,0
20050,SUBSECRETARIA DE SEGURANCA LEGISLATIVA,2000.0,,,71000000.0,0,0,0,0
20051,DIRETORIA GERAL - RESERVA TECNICA,2000.0,,,70165900.0,0,0,0,0
20052,SECRET.DO SISTEMA INTEGRADO DE SAÚDE DO SENAD,2000.0,97012.0,530279000115.0,70165900.0,0,0,0,1
20053,SUBSECRETARIA DE TELECOMUNICACOES = SSTEL,2000.0,,,111.0,0,0,0,0
20054,FUNDO ESPECIAL DO SENADO FEDERAL,2001.0,97012.0,,70165900.0,0,0,0,1
20055,FUNDO DA SEC. ESP.DE EDITORACAO E PUBLICACOES,2002.0,97012.0,,70168970.0,0,0,0,1
20056,SEC. ESP. DE INFORMATICA DO SENADO FEDERAL,2003.0,97012.0,,70165900.0,0,0,0,1
20057,INTERLEGIS,2000.0,,,70165900.0,0,0,0,0
20058,COORDENACAO DE ATIVIDADES EXTERNAS,2000.0,,,70000000.0,0,0,0,0
20059,SECRETARIA DE FISCALIZACAO E CONTROLE,2000.0,,,70000000.0,0,0,0,0
20060,SECRETARIA ESPECIAL DO INTERLEGIS,2000.0,,,70000000.0,0,0,0,0
20061,FORUM INTERPARLAMENTAR DAS AMERICAS,2000.0,,,70000000.0,0,0,0,0
20070,NPO/CONSULTORIA DO PRODASEN NPO,2000.0,,,70000000.0,0,0,0,0
20100,SECRET.ESP.DE EDITORACAO E PUBLICACOES SEEP,2000.0,,,70168970.0,0,0,0,0
20101,SUBSECRETARIA DE APOIO TECNICO,2000.0,,,70168970.0,0,0,0,0
20102,SUBSECRET.DE ADMINISTRACAO E MATERIAS-PRIMAS,2000.0,,,70168970.0,0,0,0,0
20103,SUBSECRETARIA INDUSTRIAL,2000.0,,,70000000.0,0,0,0,0
20104,SUBSECRETARIA DE EDIçOES TECNICAS,2000.0,,,70000000.0,0,0,0,0
20105,CONSULTORIA JURIDICA,2000.0,,,70000000.0,0,0,0,0
20106,SERVICO DE ADMINISTRACAO FINANCEIRA,2000.0,,,70000000.0,0,0,0,0
20107,SERVICO DE AQUISICOES,2000.0,,,70000000.0,0,0,0,0
20108,SERVICO DE MANUTENCAO TECNICA,2000.0,,,70000000.0,0,0,0,0
20109,SERVICO DE MANUTENCAO INDUSTRIAL,2000.0,,,70000000.0,0,0,0,0
20110,SERVICO DE ATIVIDADES ESPECIAIS,2000.0,,,70000000.0,0,0,0,0
20111,SERVICO DE CONTROLE DE ALMOXARIFADO,2000.0,,,70000000.0,0,0,0,0
20112,GABINETE DA SEEP,2000.0,,,70000000.0,0,0,0,0
20113,SERVICO APOIO ADMINIST. E REGISTRO FUNCIONAL,2000.0,,,70000000.0,0,0,0,0
20114,GABINETE DA SSIND,2000.0,,,70000000.0,0,0,0,0
20115,GABINETE DA SSMAPR,2000.0,,,70000000.0,0,0,0,0
20116,GABINETE DA SSATEC,2000.0,,,70000000.0,0,0,0,0
23005,"COORD. VIG. SANIT. PORTOS, AEROP. E FRONT./RS",36212.0,88013.0,,90020022.0,0,0,0,1
26289,GERêNCIA DE FILIAL LOGíSTICA EM RECIFE,25220.0,25313.0,,50070230.0,0,0,0,1
27220,FUNDO MUNICIPAL DE SAÚDE DE VALE DO PARAÍSO,93520.0,9792.0,4801221000110.0,76923000.0,0,0,0,1
28001,SENADO FEDERAL - DIF. DA INTEGRACAO,2000.0,,,11111000.0,0,0,0,0
29288,FUNDAÇAO MUNICIPAL DE SAUDE DE TEIXEIRAS/MG,95120.0,53694.0,,36580000.0,0,0,0,1
30001,TCU-TRIBUNAL DE CONTAS DA UNIAO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30002,SECRETARIA DE CONTROLE EXTERNO NO PARA,3000.0,4278.0,414607001190.0,66085148.0,0,0,0,1
30003,TCU/SERC. DE CONTROLE EXTERNO NO MARANHAO,3000.0,9210.0,414607000894.0,65076090.0,0,0,0,1
30004,TCU-SECRETARIA DE CONTROLE EXTERNO/PI,3000.0,12190.0,414607001513.0,64020000.0,0,0,0,1
30005,TCU/SEC. DE CONTROLE EXTERNO NO CEARA,3000.0,13897.0,414607000622.0,60025100.0,0,0,0,1
30006,SECRETARIA CONTROLE EXTERNO NO RIO G DO NORTE,3000.0,17612.0,414607001785.0,59075300.0,0,0,0,1
30007,TCU-SECRETARIA DE CONTROLE EXTERNO NA PARAIBA,3000.0,20516.0,414607001270.0,58010760.0,0,0,0,1
30008,SECRETARIA DE CONTROLE EXTERNO EM PERNAMBUCO,3000.0,25313.0,414607001432.0,50100070.0,0,0,0,1
30009,SECRETARIA DE CONTROLE EXTERNO EM ALAGOAS,3000.0,27855.0,414607000207.0,57010070.0,0,0,0,1
30010,SECRETARIA DE CONTROLE EXTERNO EM SERGIPE,3000.0,31054.0,414607002161.0,49015000.0,0,0,0,1
30011,SECRETARIA DE CONTROLE EXTERNO NA BAHIA,3000.0,38490.0,414607000460.0,40010000.0,0,0,0,1
30012,TCU-SECRETARIA DE CONTROLE EXTERNO/MG,3000.0,41238.0,414607001009.0,30550340.0,0,0,0,1
30013,SECRETARIA CONTROLE EXTERNO-TCU/ES,3000.0,57053.0,414607000541.0,29000000.0,0,0,0,1
30014,SECRETARIA CONTROLE EXTERNO NO MS,3000.0,90514.0,414607002242.0,79020050.0,0,0,0,1
30015,TCU-SECRETARIA CONTROLE EXTERNO/RJ,3000.0,60011.0,414607001602.0,20020000.0,0,0,0,1
30016,SECRETARIA DE CONTROLE EXTERNO EM SAO PAULO,3000.0,71072.0,414607002080.0,1031000.0,0,0,0,1
30017,SECRETARIA DE CONTROLE EXTERNO NO PARANA,3000.0,75353.0,414607001351.0,80420130.0,0,0,0,1
30018,TCU/SEC. CONTROLE EXTERNO - SC,3000.0,81051.0,414607001947.0,88015530.0,0,0,0,1
30019,TCU-SECRETARIA DE CONTROLE EXTERNO/RS,3000.0,88013.0,414607001866.0,90018900.0,0,0,0,1
30020,SECRETARIA DE CONTROLE EXTERNO NO MT,3000.0,90670.0,414607000975.0,78015000.0,0,0,0,1
30021,TCU_SECRETARIA DE CONTROLE EXTERNO/GO,3000.0,93734.0,414607000703.0,74110013.0,0,0,0,1
30022,SECRETARIA DE CONTROLE EXTERNO NO AMAZONAS/AM,3000.0,2550.0,414607000380.0,69005000.0,0,0,0,1
30023,SECRET.DE CONTROLE EXTER.NO EST.DE/TO,3000.0,97330.0,414607002323.0,77006332.0,0,0,0,1
30024,SECRETARIA DE CONTROLE EXTERNO/TCU/AP,3000.0,6050.0,414607002595.0,68900100.0,0,0,0,1
30025,SECRETARIA DE CONTROLE EXTERNO ESTADO/RO,3000.0,35.0,414607002676.0,78900000.0,0,0,0,1
30026,SECRETARIA DE CONTROLE EXTER.NO EST.DO ACRE,3000.0,1392.0,414607002757.0,69900120.0,0,0,0,1
30027,SEC.DE CONT.EXT. NO ESTADO DE RORAIMA,3000.0,3018.0,414607000118.0,69000000.0,0,0,0,1
30028,SECRETARIA ADJUNTA DE FISCALIZACAO,3000.0,97012.0,414607000118.0,111.0,0,0,0,1
30029,BIRD - DOAçãO PARA REFORçO DE MONITORAMENTO,3000.0,,,70042900.0,0,0,0,0
30100,TRIBUNAL DE JUSTICA DO ESTADO DO RJ,3100.0,60011.0,,20010010.0,0,0,0,1
30101,TCU - 1A SECRETARIA DE CONTROLE EXTERNO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30102,TCU - 2A SECRETARIA DE CONTROLE EXTERNO,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30103,TCU - 3A SECRETARIA DE CONTROLE EXTERNO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30104,TCU - 4A SECRETARIA DE CONTROLE EXTERNO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30105,TCU - 5A SECRETARIA DE CONTROLE EXTERNO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30106,TCU - 6A SECRETARIA DE CONTROLE EXTERNO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30107,TCU - 7A SECRETARIA DE CONTROLE EXTERNO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30108,TCU - 8A SECRETARIA DE CONTROLE EXTERNO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30109,TCU - 9A SECRETARIA DE CONTROLE EXTERNO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30110,TCU - 10ª SECRETARIA DE CONTROLE EXTERNO,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30200,TCU - SECRETARIA DE AUDITORIA E INSPECAO/DF,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30201,TCU-SECRET.DE CONTAS DO GOV.E TRNASF.CONSTIT.,3000.0,,,70042000.0,0,0,0,0
30202,TCU - SECRETARIA DE CONTROLE INTERNO,3000.0,,,70000000.0,0,0,0,0
30203,INSTITUTO SERZEDELLO CORREA - ISC/TCU,3000.0,97012.0,414607002404.0,70760527.0,0,0,0,1
30204,TCU - SECRETARIA DE INFORMATICA,3000.0,97012.0,414607000118.0,70042900.0,0,0,0,1
30205,SECRETARIA ADJUNTA DE CONTAS,3000.0,,,111.0,0,0,0,0
30206,SEC.DE FISCALIZACAO E AVAL.DE PROG.DE GOVERNO,3000.0,,,111.0,0,0,0,0
30207,SEC.DE FISCALIZACAO DE OBRAS E PAT.DA UNIAO,3000.0,,,111.0,0,0,0,0
30208,SECRETARIA DE FISCALIZACAO DE PESSOAL,3000.0,,,111.0,0,0,0,0
30209,SECRETARIA DE PLANEJAMENTO E GESTAO,3000.0,,,111.0,0,0,0,0
30999,TRIBUNAL DE CONTAS DA UNIAO-CONTROLE EXTERNO,3000.0,97012.0,414607000118.0,71000000.0,0,0,0,1
40001,STF/SUPREMO TRIBUNAL FEDERAL/DF,10000.0,97012.0,531640000128.0,70175000.0,0,0,0,1
40002,SECRETARIA DE CONTROLE INTERNO - STF,10000.0,,,70175000.0,0,0,0,0
40003,CONSELHO NACIONAL DE JUSTICA,17000.0,97012.0,7421906000129.0,70175900.0,0,0,0,1
40004,SECRETARIA DE ADMINISTRACAO - STF,10000.0,,,71175900.0,0,0,0,0
40005,SECRETARIA DE TECNOLOGIA DA INFORMACAO - STF,10000.0,,,71175900.0,0,0,0,0
40006,SECRETARIA DE COMUNICAO SOCIAL - STF,10000.0,,,71175900.0,0,0,0,0
40007,SECRETARIA DE DOCUMENTACAO - STF,10000.0,,,71175900.0,0,0,0,0
40008,SECRETARIA DE RECURSOS HUMANOS - STF,10000.0,,,71175900.0,0,0,0,0
40009,SECRETARIA DE SERVICOS INTREGADOS DE SAUDE,10000.0,,,71175900.0,0,0,0,0
40010,CONSELHO NACIONAL DE JUSTIÇA,17000.0,,,71175900.0,0,0,0,0
40011,SECRETARIA DE SEGURANÇA - STF,10000.0,,,71175900.0,0,0,0,0
40101,CORREGEDORIA GERAL DA JUSTIÇA,12000.0,57053.0,508903000188.0,29010000.0,0,0,0,0
50001,STJ _ SUPERIOR TRIBUNAL DE JUSTICA/DF,11000.0,97012.0,488478000102.0,70000000.0,0,0,0,1
50002,SETORIAL CONTABIL DO STJ,11000.0,,,70095900.0,0,0,1,0
50003,SECRETARIA DE CONTROLE INTERNO/STJ,11000.0,,,70070600.0,0,0,1,0
60001,STM _ SUPERIOR TRIBUNAL MILITAR/DF,13000.0,97012.0,497560000101.0,70098900.0,0,0,0,1
60002,AUDITORIA DA 8A. CJM,13000.0,4278.0,497552001986.0,66035100.0,0,0,0,1
60003,AUDITORIA DA 10A. CJM / JUSTICA MILITAR - CE,13000.0,13897.0,497552002109.0,60415510.0,0,0,0,1
60004,AUDITORIA DA 7A. CJM/PE,13000.0,25313.0,497552001803.0,50030150.0,0,0,0,1
60005,AUDITORIA DA 6A. CJM,13000.0,38490.0,497552001714.0,41700000.0,0,0,0,1
60006,CJM-AUDITORIA DA 4A. CJM/MG,13000.0,47333.0,497552001552.0,36035780.0,0,0,1,1
60007,AUDITORIA DA 9A. CJM/MS,13000.0,90514.0,497552002010.0,79008040.0,0,0,0,1
60008,1A. AUDITORIA DE MARINHA DA 1A. CJM,13000.0,,,20091000.0,0,0,0,0
60009,2A. AUDITORIA DE MARINHA DA 1A. CJM,13000.0,,,20091000.0,0,0,0,0
60010,1A. AUDITORIA DO EXERCITO DA 1A. CJM,13000.0,,,20000000.0,0,0,0,0
60011,2A. AUDITORIA DO EXERCITO DA 1A. CJM,13000.0,,,20270000.0,0,0,0,0
60012,1A. AUDITORIA DA AERONAUTICA DA 1A. CJM,13000.0,,,20020000.0,0,0,0,0
60013,2A. AUDITORIA DA AERONAUTICA DA 1A. CJM,13000.0,,,20270000.0,0,0,0,0
60014,1A. AUDITORIA DA 2A. CJM,13000.0,,,1317000.0,0,0,0,0
60015,2A. AUDITORIA DA 2A. CJM,13000.0,,,1317000.0,0,0,0,0
60016,3A. AUDITORIA DA 2A. CJM,13000.0,,,1317000.0,0,0,0,0
60017,AUDITORIA DA 5A. CJM,13000.0,75353.0,497552001633.0,82520700.0,0,0,0,1
60018,STM-1A.AUDITORIA DA 3A.CJM/RS,13000.0,88013.0,497552001200.0,90010360.0,0,0,0,1
60019,STM-2A.AUDITORIA DA 3A.CJM/RS,13000.0,85316.0,497552001390.0,96400590.0,0,0,1,1
60020,STM-3A.AUDITORIA DA 3A.CJM/RS,13000.0,88412.0,497552001471.0,97060001.0,0,0,1,1
60021,STM/AUDITORIA DA 12A. CJM,13000.0,2550.0,497552002443.0,69037000.0,0,0,0,1
60022,AUDITORIA DE CORREICAO,13000.0,,,70072000.0,0,0,0,0
60023,AUDITORIA DA JUSTIÇA MILITAR DA 11ª CJC,97400.0,97012.0,497552002281.0,70070030.0,0,0,0,0
60024,3A. AUDITORIA DO EXERCITO DA 1A. CJM,13000.0,,,20000000.0,0,0,0,0
60025,STM/SETORIAL DE ORCAMENTO E PROG.FINANCEIRA,13000.0,97012.0,497560000101.0,70098900.0,0,0,0,1
60026,STM/SETORIAL DE AUDITORIA,13000.0,97012.0,497560000101.0,70000000.0,0,0,0,1
60027,STM/SETORIAL DE CONTABILIDADE,13000.0,97012.0,497560000101.0,70000000.0,0,0,0,1
60028,STM-DIRETORIA FORO - 1A. CJM/RJ,13000.0,60011.0,497552002524.0,20270000.0,0,0,1,1
60029,JMF/DIR. DO FORO - 2A. CJM,13000.0,71072.0,497552002605.0,1317001.0,0,0,1,1
60030,DIRETORIA DO FORO DA 11ª CJM,13000.0,97012.0,497560000101.0,70070030.0,0,0,0,1
70001,TSE _ TRIBUNAL SUPERIOR ELEITORAL/SEC.ADM/DF,14000.0,97012.0,509018000113.0,70072000.0,0,0,0,1
70002,TRIBUNAL REGIONAL ELEITORAL DO ACRE,14000.0,1392.0,509018002329.0,69900160.0,0,0,1,1
70003,TRIBUNAL REGIONAL ELEITORAL DO AMAZONAS,14000.0,2550.0,509018000385.0,69060001.0,0,0,0,1
70004,TRIBUNAL REGIONAL ELEITORAL DO PARA,14000.0,4278.0,509018001276.0,66015160.0,0,0,0,1
70005,TRIBUNAL REGIONAL ELEITORAL DO MARANHAO,14000.0,9210.0,509018000970.0,65010650.0,0,0,1,1
70006,TRIBUNAL REGIONAL ELEITORAL DO PIAUI,14000.0,12190.0,509018001608.0,64060000.0,0,0,0,1
70007,TRIBUNAL REGIONAL ELEITORAL DO CEARA,14000.0,13897.0,509018000547.0,60050080.0,0,0,0,1
70008,TRIBUNAL REGIONAL ELEITORAL DO RIO G.DO NORTE,14000.0,17612.0,509018001861.0,59025580.0,0,0,0,1
70009,TRE-TRIBUNAL REGIONAL ELEITORAL DA PARAIBA/PB,14000.0,20516.0,509018001357.0,58013030.0,0,0,0,1
70010,TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO,14000.0,25313.0,509018001519.0,52010904.0,0,0,0,1
70011,TRIBUNAL REGIONAL ELEITORAL DE ALAGOAS,14000.0,27855.0,509018000202.0,57000000.0,0,0,0,1
70012,TRIBUNAL REGIONAL ELEITORAL DE SERGIPE,14000.0,31054.0,509018002248.0,49081000.0,0,0,0,1
70013,TRIBUNAL REGIONAL ELEITORAL DA BAHIA,14000.0,38490.0,509018000466.0,40237900.0,0,0,1,1
70014,TRE-TRIBUNAL REGIONAL ELEITORAL/MG,14000.0,41238.0,509018001195.0,30380002.0,0,0,0,1
70015,TRIBUNAL REGIONAL ELEITORAL DO ESPIRITO SANTO,14000.0,57053.0,509018000709.0,29052120.0,0,0,0,1
70016,TRIBUNAL REGIONAL ELEITORAL DE MATO G.DO SUL,14000.0,90514.0,509018002400.0,79100000.0,0,0,0,1
70017,TRIBUNAL REGIONAL ELEITORAL DO RIO DE JANEIRO,14000.0,60011.0,509018001780.0,20030021.0,0,0,0,1
70018,TRIBUNAL REGIONAL ELEITORAL DE SAO PAULO,14000.0,71072.0,509018002167.0,13160000.0,0,0,0,1
70019,TRIBUNAL REGIONAL ELEITORAL DO PARANA,14000.0,75353.0,509018001438.0,80220902.0,0,0,1,1
70020,TRIBUNAL REGIONAL ELEITORAL DE SANTA CATARINA,14000.0,81051.0,509018002086.0,88015130.0,0,0,0,1
70021,TRIBUNAL REGIONAL ELEITORAL DO RIO G.DO SUL,14000.0,88013.0,509018001942.0,90010280.0,0,0,0,1
70022,TRE-TRIBUNAL REGIONAL ELEITORAL/MT,14000.0,90670.0,509018001004.0,78050000.0,0,0,0,1
70023,TRIBUNAL REGIONAL ELEITORAL DE GOIAS,14000.0,93734.0,509018000890.0,74000000.0,0,0,0,1
70024,TRIBUNAL REGIONAL ELEITORAL DE RONDONIA,14000.0,35.0,4565735000113.0,76805859.0,0,0,0,1
70025,TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL,14000.0,97012.0,509018000628.0,70000000.0,0,0,0,1
70026,SECRETARIA DE ORCAMENTO E FINANCAS - TSE,14000.0,97012.0,94700000000067.0,70175900.0,0,0,0,1
70027,TRIBUNAL REGIONAL ELEITORAL/TO,14000.0,97330.0,509018002590.0,77006294.0,0,0,0,1
70028,TRIBUNAL REGIONAL ELEITORAL/RR,14000.0,3018.0,509018002671.0,69306050.0,0,0,0,1
70029,TRIBUNAL REGIONAL ELEITORAL/AP,14000.0,6050.0,34927343000118.0,68900120.0,0,0,0,1
70030,SECRETARIA DE CONTROLE INTERNO - TSE,14000.0,97012.0,509018000113.0,70096900.0,0,0,0,1
70031,COORDENADORIA DE CONTROLE INTERNO - TRE/AC,14000.0,1392.0,509018000113.0,11111111.0,0,0,0,1
70032,COORDENADORIA DE CONTROLE INTERNO - TRE/AL,14000.0,27855.0,509018000113.0,11111111.0,0,0,0,1
70033,COORDENADORIA DE CONTROLE INTERNO - TRE/AM,14000.0,2550.0,509018000113.0,11111111.0,0,0,0,1
